bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
473,2,92,0,0,1,4,1,1,1
474,1,97,0,0,1,4,1,1,1
475,5,93,0,0,1,4,1,1,1
476,7,98,0,0,1,4,1,1,1
477,8,93,0,0,1,4,1,1,1
478,9,97,0,0,1,4,1,1,1
479,11,2,0,0,1,4,1,1,1
480,16,1,0,0,1,4,1,1,1
481,21,100,0,0,1,4,1,1,1
482,18,96,0,0,1,4,1,1,1
483,13,94,0,0,1,4,1,1,1
484,18,95,0,0,1,4,1,1,1
485,23,95,0,0,1,4,1,1,1
486,18,95,0,0,1,4,1,1,1
487,17,90,0,0,1,4,1,1,1
488,15,95,0,0,1,4,1,1,1
489,20,94,0,0,1,4,1,1,1
490,19,89,0,0,1,4,1,1,1
491,17,85,0,0,1,4,1,1,1
492,12,86,0,0,1,4,1,1,1
493,17,86,0,0,1,4,1,1,1
494,22,85,0,0,1,4,1,1,1
495,21,89,0,0,1,4,1,1,1
496,16,91,0,0,1,4,1,1,1
497,21,94,0,0,1,4,1,1,1
498,24,90,0,0,1,4,1,1,1
499,25,95,0,0,1,4,1,1,1
500,27,90,0,0,1,4,1,1,1
501,23,94,0,0,1,4,1,1,1
502,28,92,0,0,1,4,1,1,1
503,33,92,0,0,1,4,1,1,1
504,34,88,0,0,1,4,1,1,1
505,34,83,0,0,1,4,1,1,1
506,33,78,0,0,1,4,1,1,1
507,34,83,0,0,1,4,1,1,1
508,31,87,0,0,1,4,1,1,1
509,29,82,0,0,1,4,1,1,1
510,33,80,0,0,1,4,1,1,1
511,38,78,0,0,1,4,1,1,1
512,42,75,0,0,1,4,1,1,1
513,45,79,0,0,1,4,1,1,1
514,49,82,0,0,1,4,1,1,1
515,51,87,0,0,1,4,1,1,1
516,55,83,0,0,1,4,1,1,1
517,53,79,0,0,1,4,1,1,1
518,53,74,0,0,1,4,1,1,1
519,56,78,0,0,1,4,1,1,1
520,52,80,0,0,1,4,1,1,1
521,54,76,0,0,1,4,1,1,1
522,51,79,0,0,1,4,1,1,1
523,49,84,0,0,1,4,1,1,1
524,51,79,0,0,1,4,1,1,1
525,46,81,0,0,1,4,1,1,1
526,44,85,0,0,1,4,1,1,1
527,48,88,0,0,1,4,1,1,1
528,51,92,0,0,1,4,1,1,1
529,55,96,0,0,1,4,1,1,1
530,58,0,0,0,1,4,1,1,1
531,55,4,0,0,1,4,1,1,1
532,50,4,0,0,1,4,1,1,1
533,53,8,0,0,1,4,1,1,1
534,58,8,0,0,1,4,1,1,1
535,62,6,0,0,1,3,2,1,1
536,58,7,0,0,1,3,1,1,1
537,54,11,0,0,1,3,1,1,1
538,50,14,0,0,1,3,1,1,1
539,55,16,0,0,1,3,1,1,1
540,54,21,0,0,1,3,1,1,1
541,50,24,0,0,1,3,1,1,1
542,48,20,0,0,1,3,1,1,1
543,48,25,0,0,1,3,1,1,1
544,46,30,0,0,1,3,1,1,1
545,42,29,0,0,1,3,1,1,1
546,37,28,0,0,1,3,1,1,1
547,36,33,0,0,1,3,1,1,1
548,41,33,0,0,1,3,1,1,1
549,46,30,0,0,1,3,1,1,1
550,43,35,0,0,1,3,1,1,1
551,42,30,0,0,1,3,1,1,1
552,37,29,0,0,1,3,1,1,1
553,34,33,0,0,1,3,1,1,1
554,33,38,0,0,1,3,1,1,1
555,34,43,0,0,1,3,1,1,1
556,38,46,0,0,1,3,1,1,1
557,35,42,0,0,1,3,1,1,1
558,34,37,0,0,1,3,1,1,1
559,35,32,0,0,1,3,1,1,1
560,30,31,0,0,1,3,1,1,1
561,25,31,0,0,1,3,1,1,1
562,29,27,0,0,1,3,1,1,1
563,34,28,0,0,1,3,1,1,1
564,30,25,0,0,1,3,1,1,1
565,34,28,0,0,1,3,1,1,1
566,39,27,0,0,1,3,1,1,1
567,43,24,0,0,1,3,1,1,1
568,46,28,0,0,1,3,1,1,1
569,49,24,0,0,1,3,1,1,1
570,49,29,0,0,1,3,1,1,1
571,45,32,0,0,1,3,1,1,1
572,50,31,0,0,1,3,1,1,1
573,46,33,0,0,1,3,1,1,1
574,51,34,0,0,1,3,1,1,1
575,48,30,0,0,1,3,1,1,1
576,52,27,0,0,1,3,1,1,1
577,53,32,0,0,1,3,1,1,1
578,56,28,0,0,1,3,1,1,1
579,52,31,0,0,1,3,1,1,1
580,47,29,0,0,1,3,1,1,1
581,48,24,0,0,1,3,1,1,1
582,53,25,0,0,1,3,1,1,1
583,50,29,0,0,1,3,1,1,1
584,55,28,0,0,1,3,1,1,1
585,55,33,0,0,1,3,1,1,1
586,52,29,0,0,1,3,1,1,1
587,47,28,0,0,1,3,1,1,1
588,49,23,0,0,1,3,1,1,1
589,53,27,0,0,1,3,1,1,1
590,58,27,0,0,1,3,1,1,1
591,55,31,0,0,1,3,1,1,1
592,59,28,0,0,1,3,1,1,1
593,61,24,0,0,1,3,1,1,1
594,64,20,0,0,1,3,1,1,1
595,69,20,0,0,1,3,1,1,1
596,64,18,0,0,1,3,1,1,1
597,68,21,0,0,1,3,1,1,1
598,69,16,0,0,1,3,1,1,1
599,70,21,0,0,1,3,1,1,1
600,68,16,0,0,1,3,1,1,1
601,63,14,0,0,1,3,1,1,1
602,63,9,0,0,1,3,1,1,1
603,61,13,0,0,1,3,1,1,1
604,65,11,0,0,1,3,1,1,1
605,60,11,0,0,1,3,1,1,1
606,55,11,0,0,1,3,1,1,1
607,53,16,0,0,1,3,1,1,1
608,55,11,0,0,1,3,1,1,1
609,51,8,0,0,1,3,1,1,1
610,56,6,0,0,1,3,1,1,1
611,55,2,0,0,1,3,1,1,1
612,56,7,0,0,1,3,1,1,1
613,56,2,0,0,1,3,1,1,1
614,51,4,0,0,1,3,1,1,1
615,52,9,0,0,1,3,1,1,1
616,49,5,0,0,1,3,1,1,1
617,48,10,0,0,1,3,1,1,1
618,52,6,0,0,1,3,1,1,1
619,49,10,0,0,1,3,1,1,1
620,54,10,0,0,1,3,1,1,1
621,58,7,0,0,1,3,1,1,1
622,63,6,0,0,1,3,1,1,1
623,61,11,0,0,1,3,1,1,1
624,65,12,0,0,1,3,1,1,1
625,65,17,0,0,1,3,1,1,1
626,64,12,0,0,1,3,1,1,1
627,69,12,0,0,1,3,1,1,1
628,74,12,0,0,1,3,1,1,1
629,69,10,0,0,1,3,1,1,1
630,64,11,0,0,1,3,1,1,1
631,69,11,0,0,1,3,1,1,1
632,72,7,0,0,1,3,1,1,1
633,75,3,0,0,1,3,1,1,1
634,77,98,0,0,1,3,1,1,1
635,80,95,0,0,1,3,1,1,1
636,81,90,0,0,1,3,1,1,1
637,82,85,0,0,1,3,1,1,1
